features,instrument_family,instrument_source
"[571.7691549116577, 69.99938515806294, 49.34062192975574, 34.38787492605072, 25.638421616844543, 17.108194652716122, 9.531980756224948, 5.500049567592202, 3.3832929539474077, 1.4378422971634486, 0.26194293442790295, -0.12082904700237256, -0.5250464987170134, 113.4021921303365, 0.18764865414519172, 0.010649181547619048, 151.2038602282394, 134.67261904761904, 28.026238804010394, 0.08237818387878304, 0.0, 7269.60498046875]",0,2
"[696.547697406806, 3.867466628745028, -14.279805552530553, 6.90797739988528, -12.542829980581093, -6.110461402475543, -20.220176726449345, -8.080200604723913, -2.622039359728634, 20.168305803324397, 15.168559208083144, -3.1680310625790384, -31.81509260737466, 2342.2393121390646, 0.14303896562323568, 0.15490528893849206, 1706.558743505441, 4236.297123015873, 27.691356724101745, 0.7364807767073783, 75.0, 3840.439453125]",8,0
"[552.2475667384019, 44.73476736507856, -22.879404338988024, -2.4942998046417424, 1.4045403243917098, 20.66334147162264, 22.546326099701844, -21.238963756371437, -29.54893955735456, -24.348952769661327, -27.063654272302852, 0.21135970038883167, -6.220852644633648, 1660.3416478166453, 0.18958016811163664, 0.15538194444444445, 1535.6646507518135, 3237.4751984126983, 22.243655476841266, 0.49194111767460486, 25.33783783783784, 555.0489501953125]",5,1
"[479.0921904014331, -2.203588872929805, -6.432622291131904, 3.266906425423809, 4.256600789754095, 0.414240904001351, -5.919984282623648, 0.6633855767630296, 7.839529341525998, -3.3932165041218614, -6.759002993840092, 5.799151174845379, 2.4889143097163564, 1749.568161604553, 0.11532130383315253, 0.14395771329365079, 926.269559602865, 2564.8561507936506, 20.330022226114043, 0.01737547187493372, 0.0, 914.3673706054688]",3,1
"[605.2383080796105, 12.841996698635514, -2.242018591203708, -3.7940647772654983, -20.659066672413292, -28.45540487302119, -20.605269763141134, 7.70946703655251, 20.521032085977563, 14.868045438296981, 17.436394391828827, 21.60903955092498, -10.422948914863323, 1154.4061596074396, 0.10924681406186502, 0.08443777901785714, 842.2799030116763, 1535.8382936507937, 28.971093398501807, 0.02187805066066123, 0.0, 6004.35888671875]",0,2
"[551.6764085085243, 14.266275174188364, -20.85954106687424, -1.2352417381945886, -15.38689158828865, -9.3225969033381, -4.9031263675268635, -14.822574274570343, -15.687990420323498, -7.093793921049993, 2.0066062772880278, 24.881104836485786, 36.643234824257426, 739.0236507784172, 0.0887858204228441, 0.06061275421626984, 463.46396570961235, 1006.2624007936508, 32.42178578330045, 0.033723721141203526, 0.0, 6181.216796875]",3,1
"[629.7013050300664, 216.6098881410891, 24.6603688039281, 7.161857406949149, 17.74751930264021, 9.750538293791932, 5.013988480875432, 2.801510423887409, -4.560460042814857, -6.100891570339086, 3.2149747555677046, 5.195899854682878, 2.446748868433303, 452.50698192946993, 0.4987809010348909, 0.030168805803571428, 583.3221695086335, 834.077380952381, 21.405772485250278, 0.2375964408928639, 117.1875, 2593.21435546875]",4,1
"[606.5372557587486, 31.897969991433744, -32.88305349855971, 31.422780096964786, 12.550607532242443, -21.425252797440887, -25.60587921559137, -6.088494729066561, 20.625389163274484, 5.110554374735354, 3.7910002425159246, 23.023687113465286, 1.319671648393369, 1292.4806783051217, 0.09600878612911436, 0.16688368055555555, 460.81962247217126, 1494.171626984127, 30.77356911228386, 0.5782493324044574, 66.96428571428571, 7520.990234375]",6,1
"[824.8826368759601, 38.06763155672958, -62.58261332554486, 1.3717982833979232, -45.612088414296984, -22.55452306501303, -26.845179443708517, -17.093778986563024, -23.57488062642275, -17.604429873892727, -21.926057301665004, -12.383149681998125, -8.868746906191102, 1820.8288983954155, 0.23025856707978695, 0.14268275669642858, 1434.9766459083364, 3235.2430555555557, 24.51770926973499, 0.8330424612518237, 117.1875, 4208.90576171875]",8,0
"[587.2362318568905, 50.15834353048242, 19.63882489112159, 12.244876496490194, 13.596234774606721, 10.812521931440912, 2.877879530061488, -4.508279453809216, -5.364923936578892, -3.113774678061647, -3.659199905524191, -6.811981088530085, -10.234672309081628, 633.9304777679631, 0.1447206761490627, 0.03996930803571429, 727.8813731770302, 1002.5421626984127, 26.806124663095588, 0.08052486575327834, 0.0, 2625.576416015625]",4,0
"[390.22851378052457, 48.37474196814341, -13.255656403290644, 23.701696440761875, 6.799226171108072, 20.669375414139427, 16.811973918470883, 5.196431259960918, 10.038046971908773, 4.517567677503866, 10.663171431488996, 11.622145292352565, 7.770825580240391, 1715.0204494581144, 0.5737096431688635, 0.12346540178571429, 1795.0371046047348, 3654.2658730158732, 16.564378148977294, 0.3364406921545517, 0.0, 93.55390930175781]",6,1
"[505.9527586238868, 24.079071603579752, -21.596948695680545, -19.207239717840697, -0.6792644970393878, -11.935142909358746, -27.247110374077945, -9.102933690316341, 5.087579962299206, 15.404424422297556, 32.69554576786175, 33.92219722823296, -4.773166258289406, 1050.0326718180918, 0.12551302468664163, 0.12830558655753968, 549.1982043506076, 1646.9494047619048, 27.870675378423023, 0.0610825343520444, 0.0, 2941.417724609375]",6,1
"[523.0959548649544, 18.145888758502938, 14.303697650805091, 11.151132009563103, 9.305074492213315, 8.336937704490888, 8.153609018923513, 8.367719963019129, 8.266491591008807, 7.665630008594851, 6.785489071354368, 5.810695488033404, 4.979360350149813, 590.5746896872117, 0.18399432624083756, 0.01423766121031746, 803.4517806843722, 1276.4756944444443, 17.784174003319716, 0.06983237586405014, 117.1875, 866.6140747070312]",5,0
"[647.726202569191, 51.210937770262056, 12.10462315360114, 11.50825330840145, -8.368423822771597, -19.67971310249745, -28.574442698897347, -32.083351995394615, -28.336164033796745, -19.854679054081842, -6.272568637096391, 6.963770204472883, 17.416216040299375, 555.0604916636896, 0.11955864001224163, 0.045662047371031744, 591.9352012941515, 646.1433531746031, 21.817112404142616, 0.6930975599415035, 208.33333333333334, 15342.8681640625]",2,2
"[540.6610369188, 16.72877405803512, 3.686869252769541, 1.8113899856839648, -0.024720694721151987, -0.982918672484692, -0.7225473303879321, 2.1770522004975077, 7.639946157675986, 13.6385575144672, 16.579181390435167, 13.208904830724618, 5.151366193818402, 351.60724136182165, 0.5567502107115965, 0.012803819444444444, 710.1758964228636, 737.4751984126984, 23.43321408773445, 0.04319895112589354, 0.0, 2044.4549560546875]",9,2
"[602.9551077362888, 105.25229398453011, 59.45225177952634, 64.55121112745412, 46.043952454763605, 20.737179493170462, 17.605781667697034, 10.323369468088112, 0.4694070310769926, -5.92077062160944, -6.664351231183922, -2.5249201184400527, -10.69375883719865, 176.7900652617027, 0.14274183637288038, 0.018147786458333332, 235.81016473294028, 214.90575396825398, 24.885703251238432, 0.426375547221284, 267.85714285714283, 8001.85595703125]",6,1
"[698.4784558159671, -9.172840942278029, -6.708382318593843, -17.822059462407363, -20.330749586243577, 2.0537200446091086, -12.44314501409947, -2.5830255485081746, -1.1268484103855707, 7.366513720544982, 8.204609832454924, 33.70572464680969, 31.498563425278714, 1715.9126547177598, 0.14423735346655464, 0.12477523561507936, 1328.0849326437155, 3313.3680555555557, 33.603076876670386, 0.6621068151891085, 110.29411764705883, 7456.50830078125]",4,0
"[554.9926354323968, 70.25490181509419, 53.61681731408041, 45.067753798744626, 35.07770406486627, 26.130365686347165, 19.216387726247024, 14.180992365164238, 10.70977760912312, 9.180643643199877, 8.389437604187039, 8.07042392147015, 7.925597873838272, 99.99005031899397, 0.26510413713016795, 0.007583860367063492, 212.27648258353008, 121.09375, 21.01225018471861, 0.17149173346536023, 0.0, 4391.66162109375]",0,2
"[713.011000570409, 138.68580136297433, 13.165016218709042, 14.963786931814814, 1.7646127348489706, 13.156244487122454, 12.507292705219932, -18.598657698095803, 2.6927267352790105, 16.860896492675607, 2.3553198433410585, 6.081552414806399, 8.140648472380867, 476.83815328195374, 0.26599193314684316, 0.025088355654761904, 696.8074624330294, 789.4345238095239, 27.634622299441077, 0.4946918649564927, 170.45454545454547, 9310.9794921875]",7,0
"[692.7477361183338, 123.85570120078843, -9.87278679002025, 32.65568465977228, 6.180576406811149, -10.148021094089176, 0.9394940214629401, -14.13145036153844, -5.949282528165311, 7.103423030036469, -1.1856978593646559, 0.7955511205857377, 4.533300892638736, 596.0822936385537, 0.1106709081944825, 0.054361979166666664, 552.3777014896697, 1094.2460317460318, 29.088465960951098, 0.47263203824621536, 144.23076923076923, 9106.681640625]",6,1
"[773.2168850201238, 86.78575645799745, -5.343541402728859, 89.20501017840215, 36.23677997119087, -26.98236513837794, -3.398844935787418, -17.893214656853598, -12.478085098358276, -9.864089138037448, -23.467729257763352, 2.5594227004799555, -2.2924144706519667, 952.5327042820575, 0.2073493275082095, 0.04198831225198413, 1195.5127434971926, 2232.3288690476193, 23.3162336746553, 0.7663520593135187, 144.23076923076923, 4808.60107421875]",10,0
"[688.5955877056741, 75.56623432559228, -36.27890268854394, 0.06058100405640761, -10.846786939285808, -6.4273711438465835, -10.52628641137651, -6.66477568214316, 5.959444105904032, -5.509933495802212, -11.944701849416361, -6.943266563298243, -2.114471486426951, 775.207841112157, 0.1891901898469223, 0.07994636656746032, 538.2989760246941, 1175.657242063492, 19.647355779629695, 0.9297093548050901, 117.1875, 4157.1181640625]",3,1
"[451.8029551624883, 36.038345098043116, 2.2466201991760832, 6.3438599866122, 4.810472922164773, 0.8284692250674666, -5.076787761340117, -4.689170960092037, 0.7057595099230615, 4.363578770470126, 12.576264202965318, 20.51456086058829, 19.20299686358714, 903.7221685074513, 0.1017937904787358, 0.05868675595238095, 901.915394883775, 1607.9489087301588, 25.162598401202683, 0.1038101284780786, 0.0, 336.42919921875]",4,0
"[492.16631858983624, 50.674224298743276, 18.62803647667269, 27.7159672062437, 17.836159186841204, 18.213367632052414, 10.91238492569546, 11.661571140468302, 6.3305083542415055, 4.976002784457752, 1.2244268068403654, 0.6224292601568125, -2.337678353803008, 864.6847455451214, 0.26689692513682456, 0.032280815972222224, 1213.411094525639, 1687.437996031746, 16.295230979716223, 0.26109536928820076, 117.1875, 373.381103515625]",8,0
"[599.4758008760726, 106.67531082165482, 52.192642419297, 32.3640594151844, 16.20535989090907, -8.026538063365491, -16.271618021014707, -11.660813723973476, -7.740605798804544, -5.9901087375723945, -4.538599559199589, 0.8720909000428785, 3.889900830445571, 379.4135497568192, 0.1271119516809428, 0.028056795634920636, 317.00482399016767, 614.1493055555555, 29.060553257663138, 0.48333965501101117, 117.1875, 6202.27685546875]",6,1
"[431.86412298417093, -21.11762160109349, 9.001793076317696, -0.19579208226822528, 1.1121325534479192, -3.777161664699373, 15.355725121156253, -15.38677472617999, 9.359323686937067, 6.570753700846384, -10.530682829694086, 17.1268808857616, -8.117987137422977, 4679.866129931567, 0.08242318236628984, 0.5764005146329365, 885.3403030568692, 5125.310019841269, 26.656674333448976, 0.05736675351797544, 0.0, 3862.208251953125]",0,2
"[662.9165341852236, 165.2095032168966, 36.50899882296948, 32.45295117771619, 30.09681660195657, 17.0769591082893, 13.87164998400233, 8.060423408826122, 7.277609611528426, 5.2949785537848895, 3.8852525827590347, 2.985321233392048, 0.41873294260623606, 373.2047604658426, 0.29758201442952104, 0.021964905753968252, 534.3341943153025, 758.1225198412699, 23.06094079518827, 0.621631020908976, 234.375, 5238.63037109375]",0,2
"[623.5287533672669, 88.01971320314459, 31.151629867176524, 77.70669844720088, 31.81155311565599, 4.930497945466973, 9.17239183613813, -3.852968404056809, 0.1307595009814498, -6.355001659501084, -15.393152248686626, -12.266446281885717, -7.127990311206879, 302.24304928945776, 0.1972243764085779, 0.01922123015873016, 479.16047946532996, 369.23363095238096, 25.866544667346005, 0.5978836348413176, 72.11538461538461, 8955.5439453125]",6,1
"[670.9126984733844, 18.91807394316654, -30.392091225480165, 28.629944153192167, -11.995087070858025, -1.6791325532704027, -17.619137823780132, -9.094871134919591, 17.59810846606568, 42.600572904535305, 36.113668682706916, 32.70912832791656, 12.858243054082273, 1182.1234726133393, 0.1550512108023042, 0.07059539310515874, 1161.0057817555116, 2013.392857142857, 28.545473638867175, 0.6832690775350594, 187.5, 6787.06787109375]",7,0
"[489.86512618420807, 4.121538892096551, -4.865680625182731, -3.965681372200259, 3.296103319955613, 5.606787467178853, -0.5863606988240326, -4.422535556050449, -2.8409954951465113, 4.667437069940044, 3.7233182267228937, -1.5363350404071416, -4.751492899261044, 372.190233139995, 0.02916107971986762, 0.041713169642857144, 140.91211170282287, 374.4419642857143, 17.835290112855013, 0.01138605987232839, 0.0, 615.914794921875]",5,0
"[558.797199271441, 29.80643287076544, 8.404338868090843, -3.929652563501054, -9.09450009203065, -11.156196303062835, -8.135508774833424, -0.3051160851680495, 11.19729125810146, 22.215545329360168, 26.345688107913496, 19.511557819725102, 6.704870500762166, 873.3540468038071, 0.1810695372203671, 0.060732886904761904, 1076.958509080559, 1436.5699404761904, 20.0914100920913, 0.06657441320428154, 0.0, 2167.101806640625]",5,0
"[608.9078016712907, 67.21725478895324, 51.291251062077485, 37.17199757060618, 29.416047346370735, 25.641730735806497, 22.737115084282706, 19.960066003012667, 17.470668633029945, 15.196993257570735, 13.114010853679412, 11.218256840377828, 9.401254504774695, 178.41376031511675, 0.3632193500039839, 0.00675843253968254, 308.2282105313187, 358.56894841269843, 20.399046264757235, 0.03782897496688229, 0.0, 5968.37109375]",0,2
"[550.333466637967, 9.281467906577229, 7.562069883343834, 6.185180744111694, 5.29998484406618, 4.508729837196489, 3.770688117669784, 3.193508773681375, 2.712236057200203, 2.26071100443841, 1.8444923492774767, 1.4454412903392364, 1.0326533491731298, 48.87973491300164, 0.05409069556618581, 0.0020732576884920635, 93.5358355262745, 74.90079365079364, 19.074340161171744, 0.0011627526519903811, 0.0, 892.8485107421875]",0,2
"[440.2798288513398, 1.4980217918743428, -10.375962502277682, -2.082326273898837, 10.37476945436318, 8.38867494663915, -15.26609957450014, -3.4667503815002907, 8.015553618692207, 8.45393261875807, -8.657716043406671, -11.828799253358694, 11.290759191041563, 1350.5537455459455, 0.08498155721874003, 0.14544968377976192, 636.5182063983752, 1258.3085317460318, 21.13079235645741, 0.011381551988290179, 117.1875, 1012.7094116210938]",4,1
"[884.316886046241, -3.973329652711564, 1.2985688557360398, 9.264366332884013, -9.408215993076944, 0.5225876701230874, 6.8027468756415805, -8.314447068378055, 4.706870503448711, 1.0334505296806538, -6.630707158464597, 8.054790029888531, -4.2155593241498295, 3337.8120054270194, 0.09660509657845961, 0.3625372023809524, 1608.4678652274022, 5277.033730158731, 14.782262411813596, 0.33159114698920816, 104.16666666666667, 13147.193359375]",0,2
"[494.0576431481799, 4.732234076216642, -8.358484196404836, -3.6044812303031377, 2.7145364622681805, 6.007105331365329, 3.0431191686263044, -6.072853127347795, -6.53399686334841, 7.063362792923376, 5.27012741787558, -4.728194414014713, -4.876339758844464, 1114.1538516926, 0.06680034522827329, 0.09324621775793651, 667.7896975000921, 1579.3030753968253, 19.824959000374776, 0.020648223681406324, 0.0, 725.4005737304688]",4,1
"[657.258847363293, 182.06475748095534, 54.65767361171305, 24.3121381998191, 23.055471537007918, 13.63317215219478, 4.719822784832748, 4.672959698552745, 0.6386694457509275, -0.7640040618736006, -0.8668804730664071, -1.1813320120286046, -2.130327888194256, 244.49506747617568, 0.25022438841872807, 0.011168464781746032, 281.3441026336764, 461.06150793650795, 20.671442234467964, 0.09381703180108748, 312.5, 6579.69921875]",0,2
"[451.82017498464916, 10.213326581125896, -0.2994775910703714, 1.7753314158253575, -1.5425481089052513, -0.8981346581604699, -1.0605351240014986, -1.9283303590700203, -1.6057381771144552, 0.38893558274872836, -2.0924852331767476, 0.25977309756374173, -0.4792665320825357, 479.9987342288697, 0.11166682282034367, 0.020476810515873016, 399.5974840702247, 896.2673611111111, 18.650653382712253, 0.28559056950591183, 117.1875, 185.00180053710938]",3,0
"[362.71193672666345, 20.37254008437472, 4.664802010767125, 7.057389733903373, 4.4033709747497936, 2.088339348964244, 1.3718456747401726, 0.8214119107077174, -1.3898373073497996, -1.9808537900705032, -2.0012935021649354, -1.7486897944056108, -2.5865083200175722, 535.677479311925, 0.09238483075041382, 0.018581814236111112, 496.0548648552083, 1084.263392857143, 15.473945002686044, 0.020370741488454365, 117.1875, 172.013916015625]",3,1
"[605.7980103700771, 87.47852895374449, 28.186748322031146, 10.855997705801814, 14.573081039982148, 9.321953877010213, 1.7198415664625109, -3.3528004797976387, -8.091818851783241, -8.312369522533434, -4.5912533762522045, -2.354719200283797, -0.8849453184305482, 793.7435903915103, 0.13448904480339804, 0.051277281746031744, 717.8631246203488, 1306.2375992063492, 26.944287245381325, 0.1254227638451062, 0.0, 2970.647705078125]",4,0
"[582.1447782602211, 19.540190211203065, 16.122992589537173, 14.741599746916798, 12.724345574239619, 10.304453269254026, 7.677815669285651, 4.74580753801989, 1.7625324980071913, -1.2723057712019463, -4.205204177237052, -6.957756118913251, -9.429582776151097, 566.3292662549032, 0.1447491036281496, 0.025460379464285716, 763.5815013957001, 1006.2003968253969, 23.86074222759907, 0.003697133507320875, 0.0, 2493.151611328125]",4,1
"[531.5465887402837, -32.6510139544813, -6.387230461205464, 1.3797627449734204, 5.428459000271862, -0.815279084493946, 5.472240241731211, 27.079363154058438, -10.622134751611103, -32.16279419002246, 13.805058223452505, 28.809321532465137, -11.81201848939713, 3162.4781782618384, 0.10304988966867369, 0.24034288194444445, 1420.6984214143622, 5057.105654761905, 35.66077763893482, 0.205783429547405, 0.0, 7097.05224609375]",0,2
"[774.3545483570689, 31.510016400163856, -49.90578124170125, 13.764067684062498, -25.633059793004005, -12.03843462855092, -16.36567346033294, -10.452470385325334, -18.251829724805088, -11.155082443601549, -12.15219713592285, 0.32077590218944113, -4.337266405800943, 1733.7415106418482, 0.17707084698768621, 0.12496124751984126, 1334.7712809852449, 3065.2901785714284, 26.539984109801996, 0.7660854637474419, 133.92857142857142, 4279.60888671875]",8,0
"[552.479549071364, 63.76185335089228, 51.433753595355384, 36.67402348195294, 24.41356603076445, 16.922993046556822, 13.370198083143348, 11.267361348307277, 8.430841535099196, 4.154643984286287, -0.8226812512201829, -5.149482432478597, -7.769600212538194, 436.9302174622406, 0.14832354428296138, 0.0220734126984127, 464.2437319899936, 900.1736111111111, 22.671192995302658, 0.1764163285971107, 0.0, 2655.909423828125]",4,1
"[535.3373542808871, -2.0498722845721913, -1.0290644914621752, -4.244555697190371, -10.382375132148296, -1.2793579755646407, 5.787890978661189, 9.375471381486175, -2.1341915550208324, 2.693411522057118, -3.950599757667702, -3.728908743709388, 3.708064729848896, 1307.632110156935, 0.1212687788044774, 0.16329907614087302, 697.9365208119834, 2080.7291666666665, 19.42709060208001, 0.42490493820206976, 170.45454545454547, 1105.435791015625]",0,2
"[781.9956424415145, 4.868932288540393, -21.103535151068723, -0.5831401441699011, -4.773028182550385, -6.3807483606869315, -9.2221910716989, 2.989521847872859, 13.416107598346695, 30.9563697255171, 18.783488477403473, -1.1056731787973284, -31.725046494554604, 2084.20357250315, 0.12726432620823294, 0.16064453125, 1782.0338283136175, 4052.0833333333335, 27.064898164506285, 0.8811962667832494, 133.92857142857142, 5039.9541015625]",10,2
"[817.4677933648463, 7.893325216110552, 26.67693276612987, -3.824296403734639, 13.303798545108089, 6.18302869283853, -4.821669655039181, -4.221228981397694, -14.638745697129318, -2.9141998250141024, -23.461253232654293, -8.951431676643766, -23.188685896175038, 3416.917932128369, 0.17126872312688557, 0.15251813616071427, 2667.508000347835, 6585.503472222223, 26.098946033385243, 0.8133957392823863, 125.0, 3900.9150390625]",10,2
"[634.2570425879213, -10.943030105450946, -33.797966491511346, 18.50531710319316, 25.92593672761465, -6.839064935074545, -0.4818761856433726, 25.284234396795753, 10.163568962035407, 12.651381492201336, 35.8290293412034, 11.41519081216185, -7.053550636461003, 2521.979285026678, 0.11450565025676256, 0.25988188244047616, 1261.3289875528887, 2631.9444444444443, 26.264048138943767, 0.7441151856088103, 110.29411764705883, 8539.5380859375]",2,0
"[636.4811870699568, 185.32282875450855, 69.05997955084953, -13.921659609925493, -32.62936089592859, -22.91044042412688, -19.097038007749017, -20.945832765393348, -18.084628277095188, -12.601395027770906, -10.753317015003343, -11.772627863866358, -13.832157772070405, 359.21363426037396, 0.2555378503324849, 0.03359840029761905, 256.4585389136725, 575.5208333333334, 23.130938049764158, 0.143959587913891, 0.0, 3834.27783203125]",4,0
"[631.6606636204192, 98.27746382173687, 76.50075879933446, 52.240963135115244, 34.068164164298935, 24.16538259022094, 19.758383811922585, 17.31592905890071, 15.060341123025577, 12.709683269039914, 10.377000494054824, 8.22183087632331, 6.602943523341167, 344.16579750765277, 0.49193321154106456, 0.012311662946428572, 469.02468470098745, 749.1319444444445, 21.38913253183048, 0.09470620592141513, 0.0, 11077.5615234375]",2,0
"[721.965832964617, 66.65550645993409, 5.8351133556904475, 8.585714249141718, -47.19414862287926, -12.392366675983945, 29.218238543450806, -20.53828542164033, -10.17354594252045, 13.687001702226807, -21.35149876888952, 6.801749492214481, -12.5933367253805, 1030.1168950175434, 0.13574958216890992, 0.058093843005952384, 1217.3957975941212, 2201.8229166666665, 29.428619144463067, 0.7743226979192074, 78.125, 5067.77587890625]",10,0
"[543.1674798314455, 66.92072816096345, 52.26423382947956, 40.51655333700244, 31.386690580425167, 24.467225600281985, 16.853579216698446, 11.209584872071886, 7.698120493491254, 5.5553995992787195, 3.601524161514133, 2.6397180527163524, 2.7893810590731265, 132.48565905533684, 0.13800462762440163, 0.021441747271825396, 167.90505868033125, 260.3546626984127, 27.44804325449761, 0.08720226909930731, 0.0, 3985.559814453125]",6,1
"[838.3879051110217, 58.69933649298689, -4.143131754616374, 39.95555040204347, -8.452896533616778, 23.59707830478352, -11.512632141054452, 6.201769444957657, -4.845537754969211, 1.8542411872213598, 0.5099532201457834, 0.30957104572819005, -4.364892606681626, 1428.0845418737974, 0.20302588754174186, 0.025526258680555556, 1509.4681261853402, 3348.152281746032, 29.429742495636958, 0.5091643010984779, 144.23076923076923, 4106.07177734375]",0,2
"[437.49505893856906, -1.0405442407205057, -12.854911918242824, 6.910347427802787, 6.243592744331281, 0.1362331388526298, -4.391685407345703, 1.3160841167960584, 14.455841473691807, 6.758699132031262, -10.34501477831072, -1.9847766884457172, 12.003453048145145, 1503.989210370329, 0.08639944423321254, 0.16403149801587302, 818.2935836973464, 1602.5545634920634, 23.9110884663834, 0.03580977801613719, 0.0, 555.8070678710938]",4,1
"[422.43298613437105, 22.112679726608953, 10.312066426446343, 14.973228634488231, 1.0554219091457062, -2.9315950642825612, -0.04180608355635844, -8.858581715727917, -8.817174323803902, -0.777068159615457, -6.836903652289157, -6.61728906862345, -5.68743159923955, 1217.6828274490663, 0.11552178095305699, 0.05173456101190476, 1258.7233400562097, 2281.374007936508, 22.73647278060241, 0.0009972006778706786, 0.0, 329.9549255371094]",0,2
"[674.1520607271359, -48.47242087138195, -18.6933810767554, 13.24872539636698, -11.556772469328113, 14.054585747318812, 25.696803420320133, 4.928043020696331, 1.5188504176462112, -2.3694099843898324, 14.670233118032343, 36.4711085441739, -0.708092583535567, 3601.8937932778535, 0.10931232984045566, 0.42147972470238093, 1483.3209269844585, 4790.178571428572, 24.469037897843542, 0.7392337389671388, 117.1875, 5121.85595703125]",7,0
"[626.9478922282336, 125.23012174179266, 45.08779556798949, 22.764843369420703, 2.1023009541178674, -11.765019044038844, -6.397742540238104, -6.361186952584756, -10.585535037496093, -4.732301219900572, 0.9411383285215162, 6.033514122852452, 14.110116081532691, 333.35368722581626, 0.1751131815071609, 0.03952365451388889, 295.50233216630005, 498.51190476190476, 31.415320204004612, 0.5165427721504939, 117.1875, 8961.10546875]",6,1
"[481.58294289399413, 6.062887682827512, 3.8410986041176196, 3.949715303850608, 2.522276799079392, 2.2271822089124886, 1.0562126656070028, 0.8219842085243392, 0.05257753863490195, -0.1334936244224729, -1.145743691016852, -1.8992146632268376, -3.9828031667681505, 645.6428233057381, 0.07017338410353456, 0.019217354910714284, 723.0943920788635, 1255.0223214285713, 16.00622491398156, 0.014669374460600555, 117.1875, 398.93157958984375]",4,0
"[761.3261820519981, 18.301462197384826, -39.341084080327256, 7.484265655489506, -34.38054063234408, -13.621968010108572, -17.0024101692995, -8.585614897496455, -26.24066811299637, -24.337282825249332, -17.743290013874063, -2.0217098322820632, 11.25331801645962, 1856.6969329854192, 0.1281678003419193, 0.12212069072420635, 1444.6881934950843, 3373.9459325396824, 26.791616649695786, 0.8176177592286524, 104.16666666666667, 4141.826171875]",8,0
"[445.8975240285817, 11.349232837731549, 1.4183536272262507, 2.654465727940393, 0.6427357818922664, -1.0350419102534647, -2.47443159993897, -2.4853729463703687, -1.2338925216490895, 1.8497631940409756, 3.295524810655617, 3.4755216358494287, 2.985325043934727, 318.43468626803184, 0.1369574219640725, 0.009033203125, 443.9415216673668, 734.5610119047619, 19.249783853423953, 0.020706488633526008, 0.0, 145.83258056640625]",8,0
"[529.3384829379244, 52.12725237956611, 33.09064293989969, 23.57239225700719, 15.491084594402565, 8.25507015412773, 3.9898410490216247, -0.36437098258687295, -3.5886318533174384, -4.647439958084734, -4.629934223906887, -4.324700992987315, -4.467143464646399, 567.2055496717944, 0.21274312002712267, 0.02351500496031746, 850.9290111104159, 984.7470238095239, 22.449712768401444, 0.1388949523720893, 117.1875, 985.3124389648438]",8,0
"[491.6201839068454, -2.8952929795251294, -1.0301870496885481, 3.535806887938623, -2.881922144664334, -0.4439858577886571, 1.8377607138020156, -3.1649038092112995, 0.6560199170116373, 1.9016031565673432, -3.696253239748598, 1.8559233127208608, -0.25348545196473826, 1250.7826364363611, 0.05769600175759275, 0.11633107018849206, 401.2398218232926, 1574.032738095238, 23.377815974747136, 0.002971653622308351, 0.0, 602.8466796875]",4,1
"[642.6565977172747, 93.13700151034857, 48.1110909061186, 43.0566171221658, 34.522477009740804, 29.177640207627586, 21.134469255604184, 16.490988883414893, 11.215323906567125, 8.86012300934964, 6.306749528537695, 5.948554175992784, 4.388389939172719, 239.54848647172795, 0.2776218514503678, 0.01008727058531746, 342.55207800473323, 498.20188492063494, 20.286950098966404, 0.22452313083400094, 20.161290322580644, 6952.82421875]",3,1
"[870.8897090781766, 56.379872553928266, -60.00500623631346, 30.450416336050846, -10.149230070791804, 9.136345157458704, -24.25423087474151, 19.020373012708635, -7.02299810766869, 13.112682574580665, 3.1411366715488596, 1.749834628235733, 1.8307367269743693, 1657.2529363496308, 0.5225921443553552, 0.10519360739087301, 1481.9212861401002, 3240.8234126984125, 28.40970482995764, 0.6517861915565379, 104.16666666666667, 5221.01953125]",7,0
"[669.8930244365606, 16.431660136185887, -50.70071219944443, -3.017872188117969, -14.353050312362795, -13.897312123101148, -23.16126063231313, -13.667725647214432, -16.12297265384879, -1.65573517639648, 14.582229456999315, 41.01212043668487, 40.49080562128764, 1374.972078515395, 0.12348710991980562, 0.08406187996031746, 1213.6648139468168, 2381.6344246031745, 28.358926995215064, 0.7005014487152964, 125.0, 5828.58984375]",2,0
"[555.6656429897263, 23.58707960369335, 10.77509842628305, 9.196421831095458, 3.160042669447287, 2.9910870731468058, -1.524329564375288, -3.8726777872079183, -9.898380990564938, -11.403458539009755, -11.869793480452422, -10.960885908899622, -8.649471451369374, 739.555029705843, 0.1308419480237131, 0.033125620039682536, 993.7326045046068, 1123.139880952381, 26.581732473286987, 0.023671939140478594, 0.0, 1575.95361328125]",4,1
"[591.3830571063224, 31.804189658260942, -24.291097656102675, -1.316824896446558, 18.083840055037232, 7.425081889737396, -14.503823321526792, -32.383096372697196, -19.043088797373283, 4.935685558136566, 4.93820358815087, 3.6288863010287473, 10.618524356649376, 1270.6082794384774, 0.12940546580241388, 0.16179935515873015, 764.861747280259, 1601.1284722222222, 28.872756423550246, 0.15855897902092958, 0.0, 2633.8037109375]",4,1
